"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 20, 2024 9:07:44 AM PST","22133108361","Liquidations","16869096802551","B0CRDY31JC","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS and Android Compatible (Phantom Black)","1","","Standard Orders","","","","","","3.80","0","0","0","0","0","0","0","0","0","0","0","0","-0.85","0","2.95"
"Nov 20, 2024 12:55:52 PM PST","22133108361","Order","111-3193892-9593020","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","New Market","MD","21774","MarketplaceFacilitator","129.99","7.80","0","0","0","0","0","0","0","0","-7.80","-10.92","-4.27","-0.33","0","114.47"
"Nov 20, 2024 6:03:26 PM PST","22133108361","Order","113-4884258-8645061","MOSWZ70-RG","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.com","Standard Orders","Amazon","PROVO","UT","84601","MarketplaceFacilitator","79.99","5.96","1.00","0","0","0","0","0","-1.00","0","-5.96","-6.72","-4.27","-0.20","0","68.80"
"Nov 21, 2024 12:52:15 AM PST","22133108361","Liquidations","17470889018551","B0CRHNJK5M","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Android and iOS - Rose Gold","1","","Standard Orders","","","","","","4.51","0","0","0","0","0","0","0","0","0","0","0","0","-0.96","0","3.55"
"Nov 21, 2024 3:44:23 AM PST","22133108361","Order","113-5623895-6820209","MOSWZ40-PB","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","AMES","IA","50010","MarketplaceFacilitator","64.99","4.55","2.99","0","0","0","0","0","-2.99","0","-4.55","-5.46","-4.27","-0.17","0","55.09"
"Nov 21, 2024 6:27:45 PM PST","22133108361","Refund","112-5090012-2791448","MOSWZ40-RG","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","ATTALLA","AL","35954","Combined TCS+MTC","-64.99","-5.20","0","0","0","0","0","0","0","0","5.20","8.19","0","0","14.04","-42.76"
"Nov 22, 2024 2:09:35 AM PST","22133108361","Order","112-7369499-7383412","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","JACKSONVILLE","FL","32225","MarketplaceFacilitator","129.99","9.75","1.49","0","0","0","0","0","-1.49","0","-9.75","-10.92","-4.27","-0.33","0","114.47"
"Nov 22, 2024 4:04:16 AM PST","22133108361","Order","111-2180104-4312234","MOSWZ40-PB","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","CLEARWATER","FL","33760","MarketplaceFacilitator","64.99","4.55","2.99","0","0","0","0","0","-2.99","0","-4.55","-5.46","-4.27","-0.17","0","55.09"
"Nov 22, 2024 7:08:42 AM PST","22133108361","Order","114-0686459-9390605","MOSWZ40-RG","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","TAMPA","FL","33617","MarketplaceFacilitator","64.99","4.64","0.99","0","0","0","0","0","-0.99","0","-4.64","-5.46","-4.27","-0.17","0","55.09"
"Nov 22, 2024 8:53:50 AM PST","22227332671","Order","112-4660831-1077038","MOSWZ40-PB","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","LONG BEACH","CA","90808","MarketplaceFacilitator","64.99","6.66","2.99","0","0","0","0","0","-2.99","0","-6.66","-5.46","-4.27","-0.17","0","55.09"
"Nov 22, 2024 10:55:20 AM PST","22227332671","Order","112-6225652-1661860","MOSWZ40-RG","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","CHARLOTTE","NC","28226","MarketplaceFacilitator","64.99","4.71","0","0","0","0","0","0","0","0","-4.71","-5.46","-4.27","-0.17","0","55.09"
"Nov 22, 2024 3:28:32 PM PST","22227332671","Order","111-5792458-7467413","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","ROSEVILLE","MI","48066","MarketplaceFacilitator","129.99","7.80","0","0","0","0","0","0","0","0","-7.80","-10.92","-4.27","-0.33","0","114.47"
"Nov 22, 2024 6:32:27 PM PST","22227332671","Refund","112-3958850-1368263","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.com","Standard Orders","Amazon","SEFFNER","FL","33584","MarketplaceFacilitator","-68.48","-5.14","0","0","0","0","0","0","0","0","5.14","8.63","0","0.33","0","-59.52"
"Nov 22, 2024 11:53:40 PM PST","22227332671","Adjustment","113-4722457-8107404","MOSWZ120-PB","FBA Inventory Reimbursement - Customer Return","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115.32","115.32"
"Nov 23, 2024 5:01:27 AM PST","22227332671","Order","113-4534034-0243459","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85743","MarketplaceFacilitator","129.99","7.93","2.99","0","0","0","0","0","-2.99","0","-7.93","-10.92","-4.27","-0.33","0","114.47"
"Nov 23, 2024 10:23:51 AM PST","22227332671","Order","111-0384639-9032231","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","TAMPA","FL","33635","MarketplaceFacilitator","129.99","9.75","0","0","0","0","0","0","0","0","-9.75","-10.92","-4.27","-0.33","0","114.47"
"Nov 23, 2024 10:46:38 AM PST","22227332671","Order","112-9826810-0074628","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","Springfield","Massachusetts","01109","MarketplaceFacilitator","129.99","8.12","1.49","0","0","0","0","0","-1.49","0","-8.12","-10.92","-4.27","-0.33","0","114.47"
"Nov 23, 2024 11:19:49 AM PST","22227332671","Order","112-9079318-3485041","MOSWZ40-RG","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","SPRINGFIELD","MA","01104","MarketplaceFacilitator","64.99","4.06","0","0","0","0","0","0","0","0","-4.06","-5.46","-4.27","-0.17","0","55.09"
"Nov 23, 2024 12:59:47 PM PST","22227332671","Order","113-7885540-1287459","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","MIDDLESEX","NC","27557","MarketplaceFacilitator","129.99","8.77","0","0","0","0","0","0","0","0","-8.77","-10.92","-4.27","-0.33","0","114.47"
"Nov 23, 2024 4:01:21 PM PST","22227332671","Order","111-1764781-6788241","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","INDIANAPOLIS","IN","46229","MarketplaceFacilitator","129.99","9.10","0","0","0","0","0","0","0","0","-9.10","-10.92","-4.27","-0.33","0","114.47"
"Nov 23, 2024 6:07:04 PM PST","22227332671","Liquidations","18219342394551","B0C234ML6S","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Android and iOS, Phantom Black","1","","Standard Orders","","","","","","6.44","0","0","0","0","0","0","0","0","0","0","0","0","-1.27","0","5.17"
